marker1_1	marker1_2	marker2_1	marker2_2	cluster	motifname	motiflocid
-0.70711	0.70711	-0.70711	0.70711	3	2	236
-0.70711	0.70711	0.70711	-0.70711	1	2	237
0.70711	-0.70711	-0.70711	0.70711	2	2	238
-0.70711	0.70711	-0.70711	0.70711	3	2	239
-0.70711	0.70711	0.70711	-0.70711	1	2	240
0.70711	-0.70711	-0.70711	0.70711	2	2	241
0.70711	-0.70711	-0.70711	0.70711	2	2	242
-0.70711	0.70711	0.70711	-0.70711	1	2	243
0.70711	-0.70711	0.70711	-0.70711	4	2	244
-0.70711	0.70711	0.70711	-0.70711	1	2	245
0.70711	-0.70711	-0.70711	0.70711	2	2	246
0.70711	-0.70711	-0.70711	0.70711	2	2	248
0.70711	-0.70711	0.70711	-0.70711	4	2	249
-0.70711	0.70711	-0.70711	0.70711	3	2	250
-0.70711	0.70711	0.70711	-0.70711	1	2	251
-0.70711	0.70711	-0.70711	0.70711	3	2	252
-0.70711	0.70711	-0.70711	0.70711	3	2	253
-0.70711	0.70711	0.70711	-0.70711	1	2	254
-0.70711	0.70711	0.70711	-0.70711	1	2	255
-0.70711	0.70711	-0.70711	0.70711	3	2	256
0.70711	-0.70711	0.70711	-0.70711	4	2	257
-0.70711	0.70711	0.70711	-0.70711	1	2	258
0.70711	-0.70711	0.70711	-0.70711	4	2	259
0.70711	-0.70711	0.70711	-0.70711	4	2	260
0.70711	-0.70711	0.70711	-0.70711	4	2	261
0.70711	-0.70711	0.70711	-0.70711	4	2	262
0.70711	-0.70711	-0.70711	0.70711	2	2	263
-0.70711	0.70711	-0.70711	0.70711	3	2	264
-0.70711	0.70711	0.70711	-0.70711	1	2	265
-0.70711	0.70711	0.70711	-0.70711	1	2	267
-0.70711	0.70711	-0.70711	0.70711	3	2	268
0.70711	-0.70711	-0.70711	0.70711	2	2	271
-0.70711	0.70711	0.70711	-0.70711	1	2	272
0.70711	-0.70711	0.70711	-0.70711	4	2	273
0.70711	-0.70711	-0.70711	0.70711	2	2	274
0.70711	-0.70711	0.70711	-0.70711	4	2	275
-0.70711	0.70711	-0.70711	0.70711	3	2	276
-0.70711	0.70711	-0.70711	0.70711	3	2	277
-0.70711	0.70711	0.70711	-0.70711	1	2	278
-0.70711	0.70711	-0.70711	0.70711	3	2	279
-0.70711	0.70711	-0.70711	0.70711	3	2	280
0.70711	-0.70711	0.70711	-0.70711	4	2	281
0.70711	-0.70711	-0.70711	0.70711	2	2	282
-0.70711	0.70711	0.70711	-0.70711	1	2	283
0.70711	-0.70711	0.70711	-0.70711	4	2	285
0.70711	-0.70711	0.70711	-0.70711	4	2	286
0.70711	-0.70711	-0.70711	0.70711	2	2	287
0.70711	-0.70711	-0.70711	0.70711	2	2	288
0.70711	-0.70711	-0.70711	0.70711	2	2	289
0.70711	-0.70711	0.70711	-0.70711	4	2	290
-0.70711	0.70711	-0.70711	0.70711	3	2	292
-0.70711	0.70711	0.70711	-0.70711	1	2	293
-0.70711	0.70711	-0.70711	0.70711	3	2	294
-0.70711	0.70711	-0.70711	0.70711	3	2	295
-0.70711	0.70711	0.70711	-0.70711	1	2	296
-0.70711	0.70711	0.70711	-0.70711	1	2	299
-0.70711	0.70711	0.70711	-0.70711	1	2	300
-0.70711	0.70711	-0.70711	0.70711	3	2	301
0.70711	-0.70711	-0.70711	0.70711	2	2	302
-0.70711	0.70711	-0.70711	0.70711	3	2	303
-0.70711	0.70711	-0.70711	0.70711	3	2	305
0.70711	-0.70711	0.70711	-0.70711	4	2	306
-0.70711	0.70711	-0.70711	0.70711	3	2	307
-0.70711	0.70711	0.70711	-0.70711	1	2	308
-0.70711	0.70711	-0.70711	0.70711	3	2	311
-0.70711	0.70711	-0.70711	0.70711	3	2	312
0.70711	-0.70711	0.70711	-0.70711	4	2	313
-0.70711	0.70711	-0.70711	0.70711	3	2	314
-0.70711	0.70711	0.70711	-0.70711	1	2	315
-0.70711	0.70711	-0.70711	0.70711	3	2	316
-0.70711	0.70711	-0.70711	0.70711	3	2	317
-0.70711	0.70711	-0.70711	0.70711	3	2	318
-0.70711	0.70711	0.70711	-0.70711	1	2	319
0.70711	-0.70711	-0.70711	0.70711	2	2	320
0.70711	-0.70711	-0.70711	0.70711	2	2	321
0.70711	-0.70711	0.70711	-0.70711	4	2	322
-0.70711	0.70711	0.70711	-0.70711	1	2	323
-0.70711	0.70711	-0.70711	0.70711	3	2	324
0.70711	-0.70711	-0.70711	0.70711	2	2	325
-0.70711	0.70711	0.70711	-0.70711	1	2	326
0.70711	-0.70711	0.70711	-0.70711	4	2	328
0.70711	-0.70711	0.70711	-0.70711	4	2	329
-0.70711	0.70711	-0.70711	0.70711	3	2	330
-0.70711	0.70711	0.70711	-0.70711	1	2	331
0.70711	-0.70711	-0.70711	0.70711	2	2	332
0.70711	-0.70711	0.70711	-0.70711	4	2	333
0.70711	-0.70711	-0.70711	0.70711	2	2	334
0.70711	-0.70711	-0.70711	0.70711	2	2	335
-0.70711	0.70711	-0.70711	0.70711	3	2	336
-0.70711	0.70711	-0.70711	0.70711	3	2	337
-0.70711	0.70711	0.70711	-0.70711	1	2	339
0.70711	-0.70711	-0.70711	0.70711	2	2	340
0.70711	-0.70711	-0.70711	0.70711	2	2	341
0.70711	-0.70711	0.70711	-0.70711	4	2	342
0.70711	-0.70711	-0.70711	0.70711	2	2	346
-0.70711	0.70711	0.70711	-0.70711	1	2	347
-0.70711	0.70711	-0.70711	0.70711	3	2	348
0.70711	-0.70711	0.70711	-0.70711	4	2	351
0.70711	-0.70711	-0.70711	0.70711	2	2	352
0.70711	-0.70711	0.70711	-0.70711	4	2	353
0.70711	-0.70711	-0.70711	0.70711	2	2	354
0.70711	-0.70711	-0.70711	0.70711	2	2	355
-0.70711	0.70711	0.70711	-0.70711	1	2	356
-0.70711	0.70711	-0.70711	0.70711	3	2	357
0.70711	-0.70711	-0.70711	0.70711	2	2	358
0.70711	-0.70711	0.70711	-0.70711	4	2	359
-0.70711	0.70711	-0.70711	0.70711	3	2	361
-0.70711	0.70711	-0.70711	0.70711	3	2	362
-0.70711	0.70711	0.70711	-0.70711	1	2	363
-0.70711	0.70711	0.70711	-0.70711	1	2	364
-0.70711	0.70711	-0.70711	0.70711	3	2	365
-0.70711	0.70711	0.70711	-0.70711	1	2	366
0.70711	-0.70711	0.70711	-0.70711	4	2	367
-0.70711	0.70711	0.70711	-0.70711	1	2	368
-0.70711	0.70711	0.70711	-0.70711	1	2	369
0.70711	-0.70711	0.70711	-0.70711	4	2	370
-0.70711	0.70711	-0.70711	0.70711	3	2	371
-0.70711	0.70711	0.70711	-0.70711	1	2	372
0.70711	-0.70711	-0.70711	0.70711	2	2	374
-0.70711	0.70711	-0.70711	0.70711	3	2	376
0.70711	-0.70711	-0.70711	0.70711	2	2	377
0.70711	-0.70711	-0.70711	0.70711	2	2	379
-0.70711	0.70711	-0.70711	0.70711	3	2	380
0.70711	-0.70711	-0.70711	0.70711	2	2	381
-0.70711	0.70711	0.70711	-0.70711	1	2	382
0.70711	-0.70711	0.70711	-0.70711	4	2	383
0.70711	-0.70711	0.70711	-0.70711	4	2	385
-0.70711	0.70711	0.70711	-0.70711	1	2	386
-0.70711	0.70711	0.70711	-0.70711	1	2	387
0.70711	-0.70711	0.70711	-0.70711	4	2	388
0.70711	-0.70711	0.70711	-0.70711	4	2	391
-0.70711	0.70711	0.70711	-0.70711	1	2	392
-0.70711	0.70711	-0.70711	0.70711	3	2	393
-0.70711	0.70711	0.70711	-0.70711	1	2	394
0.70711	-0.70711	-0.70711	0.70711	2	2	395
-0.70711	0.70711	-0.70711	0.70711	3	2	396
0.70711	-0.70711	0.70711	-0.70711	4	2	397
-0.70711	0.70711	-0.70711	0.70711	3	2	398
0.70711	-0.70711	0.70711	-0.70711	4	2	399
0.70711	-0.70711	0.70711	-0.70711	4	2	400
-0.70711	0.70711	0.70711	-0.70711	1	2	401
-0.70711	0.70711	0.70711	-0.70711	1	2	402
-0.70711	0.70711	-0.70711	0.70711	3	2	403
-0.70711	0.70711	0.70711	-0.70711	1	2	404
-0.70711	0.70711	0.70711	-0.70711	1	2	405
-0.70711	0.70711	-0.70711	0.70711	3	2	406
-0.70711	0.70711	-0.70711	0.70711	3	2	407
-0.70711	0.70711	-0.70711	0.70711	3	2	408
0.70711	-0.70711	0.70711	-0.70711	4	2	409
-0.70711	0.70711	0.70711	-0.70711	1	2	410
-0.70711	0.70711	0.70711	-0.70711	1	2	411
0.70711	-0.70711	0.70711	-0.70711	4	2	412
-0.70711	0.70711	-0.70711	0.70711	3	2	413
0.70711	-0.70711	-0.70711	0.70711	2	2	414
-0.70711	0.70711	0.70711	-0.70711	1	2	415
0.70711	-0.70711	-0.70711	0.70711	2	2	416
-0.70711	0.70711	0.70711	-0.70711	1	2	417
-0.70711	0.70711	0.70711	-0.70711	1	2	419
0.70711	-0.70711	0.70711	-0.70711	4	2	420
-0.70711	0.70711	0.70711	-0.70711	1	2	421
0.70711	-0.70711	0.70711	-0.70711	4	2	422
0.70711	-0.70711	0.70711	-0.70711	4	2	423
0.70711	-0.70711	0.70711	-0.70711	4	2	425
0.70711	-0.70711	-0.70711	0.70711	2	2	426
-0.70711	0.70711	-0.70711	0.70711	3	2	427
0.70711	-0.70711	-0.70711	0.70711	2	2	428
0.70711	-0.70711	-0.70711	0.70711	2	2	431
0.70711	-0.70711	0.70711	-0.70711	4	2	432
-0.70711	0.70711	-0.70711	0.70711	3	2	433
-0.70711	0.70711	0.70711	-0.70711	1	2	434
0.70711	-0.70711	-0.70711	0.70711	2	2	435
-0.70711	0.70711	-0.70711	0.70711	3	2	437
-0.70711	0.70711	-0.70711	0.70711	3	2	438
-0.70711	0.70711	0.70711	-0.70711	1	2	439
-0.70711	0.70711	0.70711	-0.70711	1	2	440
0.70711	-0.70711	0.70711	-0.70711	4	2	441
-0.70711	0.70711	0.70711	-0.70711	1	2	442
-0.70711	0.70711	-0.70711	0.70711	3	2	443
-0.70711	0.70711	0.70711	-0.70711	1	2	444
0.70711	-0.70711	0.70711	-0.70711	4	2	446
0.70711	-0.70711	0.70711	-0.70711	4	2	447
0.70711	-0.70711	0.70711	-0.70711	4	2	448
0.70711	-0.70711	0.70711	-0.70711	4	2	449
-0.70711	0.70711	-0.70711	0.70711	3	2	450
0.70711	-0.70711	-0.70711	0.70711	2	2	451
-0.70711	0.70711	-0.70711	0.70711	3	2	452
0.70711	-0.70711	-0.70711	0.70711	2	2	453
-0.70711	0.70711	0.70711	-0.70711	1	2	454
-0.70711	0.70711	-0.70711	0.70711	3	2	455
-0.70711	0.70711	-0.70711	0.70711	3	2	456
-0.70711	0.70711	-0.70711	0.70711	3	2	457
0.70711	-0.70711	-0.70711	0.70711	2	2	460
0.70711	-0.70711	-0.70711	0.70711	2	2	461
-0.70711	0.70711	-0.70711	0.70711	3	2	462
0.70711	-0.70711	0.70711	-0.70711	4	2	463
-0.70711	0.70711	-0.70711	0.70711	3	2	465
0.70711	-0.70711	0.70711	-0.70711	4	2	466
-0.70711	0.70711	-0.70711	0.70711	3	2	467
0.70711	-0.70711	-0.70711	0.70711	2	2	468
-0.70711	0.70711	0.70711	-0.70711	1	2	471
0.70711	-0.70711	-0.70711	0.70711	2	2	473
0.70711	-0.70711	-0.70711	0.70711	2	2	475
-0.70711	0.70711	-0.70711	0.70711	3	2	476
0.70711	-0.70711	-0.70711	0.70711	2	2	477
-0.70711	0.70711	0.70711	-0.70711	1	2	478
-0.70711	0.70711	-0.70711	0.70711	3	2	479
0.70711	-0.70711	-0.70711	0.70711	2	2	480
0.70711	-0.70711	-0.70711	0.70711	2	2	481
0.70711	-0.70711	0.70711	-0.70711	4	2	482
-0.70711	0.70711	0.70711	-0.70711	1	2	483
-0.70711	0.70711	0.70711	-0.70711	1	2	484
0.70711	-0.70711	0.70711	-0.70711	4	2	486
-0.70711	0.70711	0.70711	-0.70711	1	2	487
-0.70711	0.70711	0.70711	-0.70711	1	2	488
-0.70711	0.70711	0.70711	-0.70711	1	2	489
-0.70711	0.70711	-0.70711	0.70711	3	2	490
0.70711	-0.70711	-0.70711	0.70711	2	2	492
-0.70711	0.70711	0.70711	-0.70711	1	2	493
0.70711	-0.70711	-0.70711	0.70711	2	2	494
0.70711	-0.70711	-0.70711	0.70711	2	2	495
-0.70711	0.70711	0.70711	-0.70711	1	2	497
-0.70711	0.70711	0.70711	-0.70711	1	2	499
-0.70711	0.70711	-0.70711	0.70711	3	2	500
0.70711	-0.70711	-0.70711	0.70711	2	2	501
-0.70711	0.70711	0.70711	-0.70711	1	2	502
0.70711	-0.70711	-0.70711	0.70711	2	2	503
-0.70711	0.70711	0.70711	-0.70711	1	2	505
-0.70711	0.70711	0.70711	-0.70711	1	2	506
0.70711	-0.70711	0.70711	-0.70711	4	2	507
-0.70711	0.70711	0.70711	-0.70711	1	2	508
-0.70711	0.70711	0.70711	-0.70711	1	2	511
0.70711	-0.70711	0.70711	-0.70711	4	2	512
0.70711	-0.70711	-0.70711	0.70711	2	2	513
-0.70711	0.70711	0.70711	-0.70711	1	2	514
0.70711	-0.70711	-0.70711	0.70711	2	2	515
-0.70711	0.70711	0.70711	-0.70711	1	2	516
0.70711	-0.70711	0.70711	-0.70711	4	2	517
0.70711	-0.70711	0.70711	-0.70711	4	2	518
-0.70711	0.70711	-0.70711	0.70711	3	2	519
-0.70711	0.70711	0.70711	-0.70711	1	2	520
0.70711	-0.70711	-0.70711	0.70711	2	2	521
-0.70711	0.70711	0.70711	-0.70711	1	2	522
0.70711	-0.70711	0.70711	-0.70711	4	2	523
-0.70711	0.70711	0.70711	-0.70711	1	2	526
-0.70711	0.70711	-0.70711	0.70711	3	2	527
-0.70711	0.70711	0.70711	-0.70711	1	2	528
0.70711	-0.70711	0.70711	-0.70711	4	2	529
0.70711	-0.70711	-0.70711	0.70711	2	2	530
-0.70711	0.70711	-0.70711	0.70711	3	2	531
0.70711	-0.70711	0.70711	-0.70711	4	2	532
0.70711	-0.70711	0.70711	-0.70711	4	2	533
-0.70711	0.70711	0.70711	-0.70711	1	2	534
0.70711	-0.70711	-0.70711	0.70711	2	2	535
-0.70711	0.70711	0.70711	-0.70711	1	2	537
-0.70711	0.70711	0.70711	-0.70711	1	2	539
0.70711	-0.70711	0.70711	-0.70711	4	2	540
0.70711	-0.70711	-0.70711	0.70711	2	2	541
-0.70711	0.70711	0.70711	-0.70711	1	2	542
0.70711	-0.70711	-0.70711	0.70711	2	2	543
0.70711	-0.70711	0.70711	-0.70711	4	2	545
0.70711	-0.70711	0.70711	-0.70711	4	2	546
-0.70711	0.70711	-0.70711	0.70711	3	2	547
0.70711	-0.70711	-0.70711	0.70711	2	2	548
0.70711	-0.70711	-0.70711	0.70711	2	2	549
-0.70711	0.70711	-0.70711	0.70711	3	2	551
0.70711	-0.70711	-0.70711	0.70711	2	2	553
0.70711	-0.70711	-0.70711	0.70711	2	2	554
0.70711	-0.70711	0.70711	-0.70711	4	2	555
